STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
KINGS HWY,N,5600.0,405.0,2062.0,2044.0
KINGSBRIDGE RD,4,12464.0,2142.0,10498.0,4753.0
KINGSBRIDGE RD,BD,13118.0,1982.0,7352.0,5445.0
KINGSTON AV,3,1798.0,471.0,10405.0,9031.0
KINGSTON-THROOP,C,2461.0,818.0,13898.0,12232.0
KNICKERBOCKER,M,3977.0,1457.0,4379.0,4290.0
KOSCIUSZKO ST,J,5320.0,703.0,5391.0,1525.0
LACKAWANNA,1,222.0,90.0,,
LAFAYETTE AV,C,2032.0,718.0,5904.0,2241.0
LEXINGTON AV/53,EM6,5318.0,28903.0,157560.0,71894.0
LEXINGTON AV/63,F,1898.0,7259.0,68842.0,53681.0
LIBERTY AV,C,3425.0,839.0,3109.0,1348.0
LIVONIA AV,L,4445.0,1454.0,2862.0,2573.0
LONGWOOD AV,6,4389.0,2509.0,3437.0,2493.0
LORIMER ST,JM,2318.0,949.0,3717.0,3003.0
LORIMER ST,LG,3684.0,382.0,4203.0,1122.0
MARBLE HILL-225,1,3210.0,193.0,11913.0,4729.0
MARCY AV,JMZ,7384.0,3127.0,13247.0,4509.0
METROPOLITAN AV,GL,4733.0,2075.0,7733.0,3714.0
METROPOLITAN AV,M,3582.0,1448.0,7119.0,9632.0
METS-WILLETS PT,7,2277.0,997.0,2479.0,2376.0
MIDDLETOWN RD,6,4159.0,779.0,1970.0,1843.0
MONTROSE AV,L,1557.0,953.0,13723.0,7943.0
MORGAN AV,L,1604.0,1054.0,16611.0,6867.0
MORISN AV/SNDVW,6,6701.0,810.0,9815.0,12601.0
MORRIS PARK,5,5371.0,353.0,1924.0,2312.0
MOSHOLU PKWY,4,10642.0,1228.0,9674.0,2573.0
MT EDEN AV,4,4417.0,1060.0,11453.0,8802.0
MYRTLE AV,JMZ,10574.0,1876.0,10457.0,4881.0
MYRTLE-WILLOUGH,G,6247.0,1380.0,5317.0,2566.0
MYRTLE-WYCKOFF,LM,11845.0,1651.0,35472.0,30158.0
NASSAU AV,G,2605.0,1265.0,19307.0,15456.0
NECK RD,BQ,2894.0,84.0,6552.0,4354.0
NEPTUNE AV,F,2013.0,433.0,2606.0,630.0
NEREID AV,25,6337.0,660.0,2884.0,1339.0
NEVINS ST,2345,1523.0,2921.0,28338.0,24261.0
NEW LOTS,L,8184.0,1984.0,3952.0,4386.0
NEW LOTS AV,3,5060.0,1390.0,9869.0,16072.0
NEW UTRECHT AV,ND,5167.0,664.0,583062.0,111498.0
NEWARK BM BW,1,335.0,8.0,,
NEWARK C,1,380.0,6.0,,
NEWARK HM HE,1,0.0,90.0,,
NEWKIRK AV,25,12340.0,1430.0,6339.0,5295.0
NEWKIRK PLAZA,BQ,15685.0,2701.0,10023.0,10310.0
NORTHERN BLVD,MR,8977.0,2937.0,6058.0,5660.0
NORWOOD 205 ST,D,14651.0,1712.0,7470.0,5460.0
NORWOOD AV,JZ,5637.0,987.0,2849.0,3502.0
NOSTRAND AV,3,1534.0,554.0,8770.0,8750.0
NOSTRAND AV,AC,5011.0,2436.0,35298.0,28774.0
OCEAN PKWY,Q,2046.0,322.0,7835.0,3988.0
OZONE PK LEFFRT,A,10129.0,1136.0,9784.0,17524.0
PARK PLACE,23ACE,244.0,1858.0,12108.0,4604.0
PARK PLACE,S,1714.0,1109.0,78.0,247.0
PARKCHESTER,6,27966.0,4562.0,13577.0,16315.0
PARKSIDE AV,BQ,6968.0,1031.0,5050.0,3530.0
PARSONS BLVD,F,5275.0,1483.0,14218.0,14560.0
PATH NEW WTC,1,158.0,1876.0,,
PELHAM BAY PARK,6,6054.0,1063.0,10945.0,9898.0
PELHAM PKWY,25,11472.0,1483.0,8914.0,3395.0
PELHAM PKWY,5,5827.0,968.0,3316.0,2467.0
PENNSYLVANIA AV,3,3300.0,315.0,8876.0,6384.0
PRESIDENT ST,25,1432.0,472.0,9349.0,12001.0
PRINCE ST,NRW,350.0,1686.0,47513.0,38070.0
PROSPECT AV,25,8481.0,802.0,8672.0,2393.0
PROSPECT AV,R,1587.0,1218.0,12336.0,10303.0
PROSPECT PARK,BQS,3736.0,1202.0,18591.0,24782.0
QUEENS PLAZA,EMR,5649.0,9460.0,18148.0,8715.0
QUEENSBORO PLZ,7NQW,2983.0,1833.0,39244.0,9698.0
RALPH AV,C,7276.0,1097.0,5614.0,2740.0
RECTOR ST,1,750.0,971.0,25500.0,10944.0
RECTOR ST,NRW,606.0,701.0,22354.0,4111.0
RIT-MANHATTAN,R,373.0,31.0,3339.0,59.0
ROCKAWAY AV,3,3681.0,679.0,9022.0,14862.0
ROCKAWAY AV,C,7694.0,1331.0,5652.0,3518.0
ROCKAWAY BLVD,A,12873.0,1655.0,6355.0,2804.0
